Source,Target,Weight
2,0,1
2,1,1
3,1,1
34,1,1
35,1,1
0,2,1
1,2,1
3,2,1
30,2,1
31,2,1
32,2,1
33,2,1
1,3,1
2,3,1
4,3,1
34,3,1
35,3,1
36,3,1
3,4,1
3,5,1
8,5,1
8,6,1
20,6,1
3,7,1
5,7,1
8,7,1
9,7,1
19,7,1
20,7,1
3,8,1
5,8,1
6,8,1
9,8,1
10,8,1
8,9,1
12,9,1
8,10,1
11,10,1
10,11,1
13,11,1
21,11,1
9,12,1
13,12,1
14,12,1
23,12,1
24,12,1
27,12,1
28,12,1
30,12,1
11,13,1
12,13,1
14,13,1
15,13,1
21,13,1
22,13,1
23,13,1
24,13,1
25,13,1
27,13,1
28,13,1
30,13,1
12,14,1
13,14,1
15,14,1
21,14,1
22,14,1
23,14,1
24,14,1
25,14,1
26,14,1
27,14,1
28,14,1
29,14,1
30,14,1
38,14,1
53,14,1
13,15,1
14,15,1
16,15,1
15,16,1
17,16,1
18,16,1
21,16,1
16,17,1
18,17,1
16,18,1
17,18,1
19,18,1
20,18,1
20,19,1
19,20,1
24,22,1
24,23,1
27,23,1
22,24,1
23,24,1
25,24,1
27,24,1
24,25,1
27,25,1
27,26,1
40,26,1
41,26,1
42,26,1
43,26,1
44,26,1
60,26,1
23,27,1
24,27,1
25,27,1
26,27,1
28,27,1
38,27,1
27,28,1
37,28,1
37,29,1
30,31,1
31,31,1
32,31,1
33,31,1
31,32,1
31,33,1
35,34,1
34,35,1
39,38,1
40,38,1
56,38,1
38,39,1
40,39,1
51,39,1
53,39,1
54,39,1
55,39,1
26,40,1
38,40,1
39,40,1
41,40,1
45,40,1
56,40,1
60,40,1
26,41,1
40,41,1
42,41,1
45,41,1
46,41,1
47,41,1
48,41,1
60,41,1
26,42,1
41,42,1
43,42,1
60,42,1
26,43,1
41,43,1
42,43,1
60,43,1
26,44,1
49,44,1
40,45,1
41,45,1
60,45,1
41,46,1
41,47,1
41,48,1
44,49,1
50,49,1
53,49,1
51,50,1
53,50,1
39,51,1
50,51,1
52,51,1
53,51,1
56,51,1
51,52,1
53,52,1
39,53,1
49,53,1
50,53,1
51,53,1
52,53,1
54,53,1
55,53,1
56,53,1
57,53,1
58,53,1
59,53,1
39,54,1
53,54,1
56,54,1
39,55,1
53,55,1
56,55,1
53,57,1
49,58,1
53,58,1
53,59,1
42,60,1
45,60,1