Label,Id
Majed Moqed,0
Khalid Al-Mihdhar,1
Hani Hanjour,2
Nawaf Alhazmi,3
Salem Alhazmi*,4
Ahmed Alnami,5
Ahmed Alghamdi,6
Saeed Alghamdi*,7
Hamza Alghamdi,8
Ahmed Al Haznawi,9
Mohand Alshehri*,10
Fayez Ahmed,11
Ziad Jarrah,12
Marwan Al-Shehhi,13
Mohamed Atta,14
Abdul Aziz Al-Omari*,15
Waleed Alshehri,16
Wail Alshehri,17
Satam Suqami,18
Raed Hijazi,19
Nabil al-Marabh,20
Mustafa Ahamend al-Hisawi,21
Mamoun Darkazanli,22
Zakariya Essabar,23
Said Bahaji,24
Mounir El Motassadeq,25
Zacarias Moussaoui,26
Ramzi Bin al-Shibh,27
Agus Budiman,28
Ahed Khalil Ibrahim Samir Al-Ani,29
Lofti Raissi,30
Rayed Mohammed Abdullah,31
Bandar Alhazmi,32
Faisal Al Salmi,33
Osama Awadallah,34
Abdussattar Shaikh,35
Mohamed Abdi,36
Mohamed Belfas,37
Imad Eddin Baraat Yarkas,38
Tarek Maaroufi,39
Abu Qatada,40
Djamal Benghal,41
Jerome Courtaillier,42
David Courtaillier,43
Ahmen Ressam,44
Abu Walid,45
Jean-Marc Grandvisir,46
Abu Zubeida,47
Nizar Trabelsi,48
Haydar Abu Doha,49
Mehdi Khammoun,50
Mohammed Bensakhria,51
Lased Ben Heni,52
Essid Sami Ben Khemail,53
Seifallah ben Hassine,54
Essoussi Laaroussi,55
Tarek Maaroufi,56
Fahid al Shakri,57
Madjid Sahoune,58
Samir Kishk,59
Kamel Daoudi,60